时间,交易所委托号,委托类型,委托代码,委托价格,委托数量
93001680,667818,0,B,171600,100
93001680,667819,0,B,171600,100
93001680,667820,0,B,171600,200
93001680,667821,0,B,171600,100
93001680,667822,0,B,171600,200
93001680,667823,0,B,171600,300
93001680,667824,0,B,171600,100
93001680,667825,0,B,171600,200
93001680,667827,0,B,171600,100
93001680,667832,0,B,171600,100
93001680,667833,0,B,171600,300
93001680,667834,0,B,171600,100
93001680,667835,0,B,171600,100
93001680,667836,0,B,171600,100
93001680,667837,0,B,171600,100
93001680,667838,0,B,171600,100
93001680,667841,0,B,171600,100
93001680,667842,0,B,171600,100
93001680,667843,0,B,171600,100
93001680,667844,0,B,171600,100
93001680,667845,0,B,171600,100
93001680,667847,0,B,171600,100
93001680,667848,0,B,171600,100
93001680,667849,0,B,171600,100
93001680,667850,0,B,171600,200
93001680,667851,0,B,171600,100
93001680,667852,0,B,171600,100
93001680,667860,0,B,171600,300
93001680,667863,0,B,171600,5000
93001680,667864,0,B,171600,100
93001680,667870,0,B,171600,100
93001680,667918,0,S,178700,600
93001680,667973,0,B,171600,200
93001680,667976,0,B,171600,100
93001680,667980,0,B,171600,200
93001680,668076,0,B,171600,200
93001680,668083,0,B,171600,100
93001690,668205,0,B,171600,100
93001690,668206,0,B,171600,100
93001690,668207,0,B,171600,100
93001690,668458,0,B,171600,100
93001690,668512,0,B,171600,200
93001690,668513,0,B,171600,100
93001700,669106,0,B,171600,100
93001710,670034,0,B,171600,200
93001710,670035,0,B,171600,200
93001710,670163,0,S,171700,400
93001740,671512,0,B,171600,200
93001780,673592,0,B,171600,200
93001780,673596,0,B,171600,100
93001870,677264,0,B,171600,100
93001930,679655,0,S,179900,15500
93001940,680046,0,S,173800,5800
93001960,680666,0,B,171800,200
93001970,680989,0,S,207400,300
93001980,681421,0,B,171800,200
93001980,681439,0,S,181800,5000
93001980,681453,0,B,171800,300
93002000,682129,0,B,171800,200
93002000,682216,0,B,171800,700
93002000,682318,0,B,171500,100
93002000,682426,0,B,171600,400
